Date,Time,ZCM,HPIM,PIM,LIFE,Event,Light,Temp,SleSco
04/22/2018,21:53:00,211,37928,2107.111,10000,0,0.4285714,60.07368,0
04/22/2018,21:54:00,251,37804,2100.222,10000,0,0.1428571,60.07368,0
04/22/2018,21:55:00,251,37410,2078.333,10000,0,3.195122,60.07368,0
04/22/2018,21:56:00,267,40292,2238.444,10000,0,0.7142857,60.07368,0
04/22/2018,21:57:00,260,48754,2708.556,10000,0,0.5714286,58.68691,0
04/22/2018,21:58:00,192,38063,2114.611,10000,0,0.2857143,59.72697,0
04/22/2018,21:59:00,248,38370,2131.667,10000,0,0.2857143,58.68691,0
04/22/2018,22:00:00,196,38421,2134.5,10000,0,0.4285714,58.68691,0
04/22/2018,22:01:00,247,49818,2767.667,10000,0,0.2857143,58.68691,0
04/22/2018,22:02:00,251,28918,1606.556,10000,0,0.4285714,58.68691,0
04/22/2018,22:03:00,244,46334,2574.111,10000,0,0.4285714,58.68691,0
04/22/2018,22:04:00,185,31558,1753.222,10000,0,1,58.68691,0
04/22/2018,22:05:00,221,37725,2095.833,10000,0,0.7142857,58.68691,0
04/22/2018,22:06:00,196,25415,1411.944,10000,0,0.5714286,58.68691,0
04/22/2018,22:07:00,188,39118,2173.222,10000,0,41.73913,58.68691,0
04/22/2018,22:08:00,208,32733,1818.5,10000,0,0.2857143,58.68691,0
04/22/2018,22:09:00,244,40658,2258.778,10000,0,0.2857143,58.68691,0
04/22/2018,22:10:00,200,45338,2518.778,10000,0,0.4285714,58.68691,0
04/22/2018,22:11:00,170,16289,904.9445,10000,0,0.2857143,58.68691,0
04/22/2018,22:12:00,99,6139,341.0555,10000,0,0.1428571,58.68691,0
04/22/2018,22:13:00,192,46045,2558.056,10000,0,0.2857143,58.68691,0
04/22/2018,22:14:00,192,75877,4215.389,10000,0,0,58.68691,0
04/22/2018,22:15:00,161,53698,2983.222,10000,0,0,58.68691,0
04/22/2018,22:16:00,176,55457,3080.944,10000,0,0,58.68691,0
04/22/2018,22:17:00,129,27845,1546.944,10000,0,0,60.07368,0
04/22/2018,22:18:00,95,5539,307.7222,10000,0,0,58.68691,0
04/22/2018,22:19:00,218,97168,5398.222,10000,0,0,60.07368,0
04/22/2018,22:20:00,290,115670,6426.111,10000,0,0,60.07368,0
04/22/2018,22:21:00,272,141395,7855.278,10000,0,0.1428571,60.07368,0
04/22/2018,22:22:00,208,103026,5723.667,10000,0,0,58.68691,0
04/22/2018,22:23:00,145,10532,585.1111,10000,0,0,59.72697,0
04/22/2018,22:24:00,98,33929,1884.944,10000,0,0,60.07368,0
04/22/2018,22:25:00,202,84233,4679.611,10000,0,0,60.07368,0
04/22/2018,22:26:00,188,31789,1766.056,10000,0,5.829268,60.07368,0
04/22/2018,22:27:00,52,9062,503.4445,10000,0,10.80488,60.07368,0
04/22/2018,22:28:00,198,47459,2636.611,10000,0,3.878049,60.07368,0
04/22/2018,22:29:00,240,41720,2317.778,10000,0,9.243902,60.07368,0
04/22/2018,22:30:00,181,43259,2403.278,10000,0,10.60976,60.07368,0
04/22/2018,22:31:00,161,28295,1571.944,10000,0,13.16667,60.07368,0
04/22/2018,22:32:00,167,29081,1615.611,10000,0,3.780488,60.76709,0
04/22/2018,22:33:00,220,26278,1459.889,10000,0,8.756098,60.76709,0
04/22/2018,22:34:00,151,20648,1147.111,10000,0,11.33333,61.46045,0
04/22/2018,22:35:00,92,3167,175.9444,10000,0,14.41667,61.46045,0
04/22/2018,22:36:00,173,23553,1308.5,10000,0,2.490909,61.46045,0
04/22/2018,22:37:00,49,426,23.66667,10000,0,0,61.46045,0
04/22/2018,22:38:00,154,39832,2212.889,10000,0,5.341464,61.46045,0
04/22/2018,22:39:00,109,13930,773.8889,10000,0,7.195122,62.15386,0
04/22/2018,22:40:00,134,15692,871.7778,10000,0,2.709091,62.84722,0
04/22/2018,22:41:00,227,54619,3034.389,10000,0,7.195122,62.84722,0
04/22/2018,22:42:00,144,29053,1614.056,10000,0,1.763636,62.84722,0
04/22/2018,22:43:00,187,33677,1870.944,10000,0,3.780488,62.84722,0
04/22/2018,22:44:00,173,34227,1901.5,10000,0,4.463415,62.84722,0
04/22/2018,22:45:00,181,28558,1586.556,10000,0,2.672727,62.84722,0
04/22/2018,22:46:00,196,34634,1924.111,10000,0,2.381818,62.84722,0
04/22/2018,22:47:00,240,75609,4200.5,10000,0,1.909091,62.84722,0
04/22/2018,22:48:00,206,40971,2276.167,10000,0,4.365854,62.84722,0
04/22/2018,22:49:00,178,39505,2194.722,10000,0,2.709091,62.84722,0
04/22/2018,22:50:00,231,33629,1868.278,10000,0,8.268292,62.84722,0
04/22/2018,22:51:00,150,11875,659.7222,10000,0,1.872727,62.84722,0
04/22/2018,22:52:00,89,2833,157.3889,10000,0,2.272727,62.84722,0
04/22/2018,22:53:00,163,27405,1522.5,10000,0,2.381818,62.84722,0
04/22/2018,22:54:00,154,20032,1112.889,10000,0,2.272727,62.84722,0
04/22/2018,22:55:00,152,27705,1539.167,10000,0,3.390244,62.84722,0
04/22/2018,22:56:00,201,23919,1328.833,10000,0,2.054545,62.84722,0
04/22/2018,22:57:00,204,63276,3515.333,10000,0,8.95122,62.84722,0
04/22/2018,22:58:00,190,16856,936.4445,10000,0,24.22414,62.84722,0
04/22/2018,22:59:00,226,111008,6167.111,10000,0,2.927273,62.84722,0
04/22/2018,23:00:00,318,191837,10657.61,10000,0,1.4,62.84722,0
04/22/2018,23:01:00,306,273722,15206.78,10000,0,0.1428571,62.84722,0
04/22/2018,23:02:00,258,291610,16200.56,10000,0,0,62.84722,0
04/22/2018,23:03:00,247,55157,3064.278,10000,0,0,61.46045,0
04/22/2018,23:04:00,243,30857,1714.278,10000,0,0,61.46045,0
04/22/2018,23:05:00,262,69790,3877.222,10000,0,0,61.46045,0
04/22/2018,23:06:00,220,49984,2776.889,10000,0,0,61.11374,0
04/22/2018,23:07:00,229,37328,2073.778,10000,0,0,60.07368,0
04/22/2018,23:08:00,294,83885,4660.278,10000,0,0,60.07368,0
04/22/2018,23:09:00,194,38103,2116.833,10000,0,0,58.68691,0
04/22/2018,23:10:00,272,59164,3286.889,10000,0,0,58.68691,0
04/22/2018,23:11:00,216,23856,1325.333,10000,0,0,58.68691,0
04/22/2018,23:12:00,174,23497,1305.389,10000,0,0,58.68691,0
04/22/2018,23:13:00,204,36947,2052.611,10000,0,0,58.68691,0
04/22/2018,23:14:00,254,72251,4013.944,10000,0,0,57.99349,0
04/22/2018,23:15:00,279,73879,4104.389,10000,0,0,57.99349,0
04/22/2018,23:16:00,306,90191,5010.611,10000,0,0,57.99349,0
04/22/2018,23:17:00,252,87699,4872.167,10000,0,0,57.30014,0
04/22/2018,23:18:00,297,93046,5169.222,10000,0,0,57.30014,0
04/22/2018,23:19:00,291,31524,1751.333,10000,0,0,56.95343,0
04/22/2018,23:20:00,289,31431,1746.167,10000,0,0,56.60672,0
04/22/2018,23:21:00,281,26584,1476.889,10000,0,0,57.30014,0
04/22/2018,23:22:00,262,20808,1156,10000,0,0,57.30014,0
04/22/2018,23:23:00,280,34487,1915.944,10000,0,0,57.30014,0
04/22/2018,23:24:00,271,79148,4397.111,10000,0,0,57.30014,0
04/22/2018,23:25:00,272,108045,6002.5,10000,0,0,57.30014,0
04/22/2018,23:26:00,291,161985,8999.167,10000,0,1.109091,57.30014,0
04/22/2018,23:27:00,296,218050,12113.89,10000,0,3.585366,57.30014,0
04/22/2018,23:28:00,228,202624,11256.89,10000,0,1.763636,55.91331,0
04/22/2018,23:29:00,226,78635,4368.611,10000,0,0,55.91331,0
04/22/2018,23:30:00,160,63269,3514.944,10000,0,0.8571429,57.30014,0
04/22/2018,23:31:00,139,69339,3852.167,10000,0,54.07692,57.30014,0
04/22/2018,23:32:00,9,63,3.5,10000,0,71.44247,57.30014,0
04/22/2018,23:33:00,10,109,6.055555,10000,0,70.16666,57.30014,0
04/22/2018,23:34:00,71,13968,776,10000,0,75.86726,56.95343,0
04/22/2018,23:35:00,18,20,1.111111,10000,0,79.67257,57.30014,0
04/22/2018,23:36:00,181,100467,5581.5,10000,0,53.21154,56.95343,0
04/22/2018,23:37:00,305,211172,11731.78,10000,0,1.581818,56.60672,0
04/22/2018,23:38:00,225,102645,5702.5,10000,0,0.2857143,56.60672,0
04/22/2018,23:39:00,308,320499,17805.5,10000,0,0.8571429,56.95343,0
04/22/2018,23:40:00,296,249137,13840.94,10000,0,1.218182,55.91331,0
04/22/2018,23:41:00,307,117139,6507.722,10000,0,1.8,56.95343,0
04/22/2018,23:42:00,212,159887,8882.611,10000,0,1.363636,56.60672,0
04/22/2018,23:43:00,11,69,3.833333,10000,0,0,56.95343,0
04/22/2018,23:44:00,0,0,0,10000,0,0,57.30014,0
04/22/2018,23:45:00,0,0,0,10000,0,0,57.30014,0
04/22/2018,23:46:00,0,0,0,10000,0,0,57.99349,0
04/22/2018,23:47:00,0,0,0,10000,0,0,57.99349,0
04/22/2018,23:48:00,40,2949,163.8333,10000,0,0,58.68691,0
04/22/2018,23:49:00,0,0,0,10000,0,0,58.68691,0
04/22/2018,23:50:00,0,0,0,10000,0,0,58.68691,1
04/22/2018,23:51:00,13,104,5.777778,10000,0,0,58.68691,1
04/22/2018,23:52:00,0,0,0,10000,0,0,58.68691,1
04/22/2018,23:53:00,0,0,0,10000,0,0,58.68691,1
04/22/2018,23:54:00,12,54,3,10000,0,0,60.07368,1
04/22/2018,23:55:00,6,20,1.111111,10000,0,0,60.07368,1
04/22/2018,23:56:00,0,0,0,10000,0,0,60.07368,1
04/22/2018,23:57:00,0,0,0,10000,0,0,60.07368,1
04/22/2018,23:58:00,7,39,2.166667,10000,0,0,60.76709,1
04/22/2018,23:59:00,0,0,0,10000,0,0,60.76709,1
04/23/2018,00:00:00,0,0,0,10000,0,0,61.46045,1
04/23/2018,00:01:00,0,0,0,10000,0,0,61.46045,1
04/23/2018,00:02:00,0,0,0,10000,0,0,61.46045,1
04/23/2018,00:03:00,0,0,0,10000,0,0,61.46045,1
04/23/2018,00:04:00,0,0,0,10000,0,0,61.46045,1
04/23/2018,00:05:00,0,0,0,10000,0,0,61.46045,1
04/23/2018,00:06:00,0,0,0,10000,0,0,61.46045,1
04/23/2018,00:07:00,0,0,0,10000,0,0,61.46045,1
04/23/2018,00:08:00,0,0,0,10000,0,0,61.46045,1
04/23/2018,00:09:00,0,0,0,10000,0,0,61.46045,1
04/23/2018,00:10:00,0,0,0,10000,0,0,61.46045,1
04/23/2018,00:11:00,0,0,0,10000,0,0,61.46045,1
04/23/2018,00:12:00,0,0,0,10000,0,0,62.50057,1
04/23/2018,00:13:00,0,0,0,10000,0,0,61.46045,1
04/23/2018,00:14:00,0,0,0,10000,0,0,62.15386,1
04/23/2018,00:15:00,0,0,0,10000,0,0,62.15386,1
04/23/2018,00:16:00,0,0,0,10000,0,0,62.84722,1
04/23/2018,00:17:00,0,0,0,10000,0,0,62.84722,1
04/23/2018,00:18:00,0,0,0,10000,0,0,62.84722,1
04/23/2018,00:19:00,0,0,0,10000,0,0,62.84722,1
04/23/2018,00:20:00,0,0,0,10000,0,0,62.84722,1
04/23/2018,00:21:00,0,0,0,10000,0,0,62.84722,1
04/23/2018,00:22:00,0,0,0,10000,0,0,62.84722,1
04/23/2018,00:23:00,0,0,0,10000,0,0,62.84722,1
04/23/2018,00:24:00,0,0,0,10000,0,0,62.84722,1
04/23/2018,00:25:00,0,0,0,10000,0,0,62.84722,1
04/23/2018,00:26:00,0,0,0,10000,0,0,62.84722,1
04/23/2018,00:27:00,0,0,0,10000,0,0,63.54063,1
04/23/2018,00:28:00,0,0,0,10000,0,0,63.54063,1
04/23/2018,00:29:00,0,0,0,10000,0,0,63.54063,1
04/23/2018,00:30:00,0,0,0,10000,0,0,63.88734,1
04/23/2018,00:31:00,12,671,37.27778,10000,0,0,63.54063,1
04/23/2018,00:32:00,0,0,0,10000,0,0,63.54063,1
04/23/2018,00:33:00,96,17771,987.2778,10000,0,0,64.23405,1
04/23/2018,00:34:00,12,64,3.555556,10000,0,0,63.54063,1
04/23/2018,00:35:00,0,0,0,10000,0,0,62.84722,1
04/23/2018,00:36:00,40,7502,416.7778,10000,0,0,62.84722,1
04/23/2018,00:37:00,4,16,0.8888889,10000,0,0,62.84722,1
04/23/2018,00:38:00,0,0,0,10000,0,0,62.84722,1
04/23/2018,00:39:00,2,6,0.3333333,10000,0,0,62.84722,1
04/23/2018,00:40:00,0,0,0,10000,0,0,63.54063,1
04/23/2018,00:41:00,0,0,0,10000,0,0,63.54063,1
04/23/2018,00:42:00,0,0,0,10000,0,0,63.54063,1
04/23/2018,00:43:00,0,0,0,10000,0,0,64.23405,1
04/23/2018,00:44:00,0,0,0,10000,0,0,64.23405,1
04/23/2018,00:45:00,0,0,0,10000,0,0,64.23405,1
04/23/2018,00:46:00,0,0,0,10000,0,0,64.23405,1
04/23/2018,00:47:00,0,0,0,10000,0,0,64.23405,1
04/23/2018,00:48:00,4,13,0.7222222,10000,0,0,64.23405,1
04/23/2018,00:49:00,0,0,0,10000,0,0,64.23405,1
04/23/2018,00:50:00,0,0,0,10000,0,0,64.23405,1
04/23/2018,00:51:00,0,0,0,10000,0,0,64.9274,1
04/23/2018,00:52:00,0,0,0,10000,0,0,64.23405,1
04/23/2018,00:53:00,0,0,0,10000,0,0,64.9274,1
04/23/2018,00:54:00,0,0,0,10000,0,0,65.62082,1
04/23/2018,00:55:00,0,0,0,10000,0,0,65.62082,1
04/23/2018,00:56:00,0,0,0,10000,0,0,65.62082,1
04/23/2018,00:57:00,0,0,0,10000,0,0,65.62082,1
04/23/2018,00:58:00,0,0,0,10000,0,0,65.62082,1
04/23/2018,00:59:00,0,0,0,10000,0,0,65.62082,1
04/23/2018,01:00:00,135,79328,4407.111,10000,0,0,65.62082,0
04/23/2018,01:01:00,0,0,0,10000,0,0.2857143,65.62082,1
04/23/2018,01:02:00,0,0,0,10000,0,0.2857143,64.9274,1
04/23/2018,01:03:00,0,0,0,10000,0,0.1428571,64.23405,1
